"","country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"61","Japan","JP",2023-01-29,"Films",1,"HELL DOGS - IN THE HOUSE OF BAMBOO -","N/A",1
"62","Japan","JP",2023-01-29,"Films",2,"Harry Potter and the Sorcerer's Stone","N/A",5
"63","Japan","JP",2023-01-29,"Films",3,"Harry Potter and the Chamber of Secrets","N/A",5
"64","Japan","JP",2023-01-29,"Films",4,"Harry Potter and the Goblet of Fire","N/A",4
"65","Japan","JP",2023-01-29,"Films",5,"Harry Potter and the Half-Blood Prince","N/A",4
"66","Japan","JP",2023-01-29,"Films",6,"Harry Potter and the Prisoner of Azkaban","N/A",5
"67","Japan","JP",2023-01-29,"Films",7,"Harry Potter and the Order of the Phoenix","N/A",4
"68","Japan","JP",2023-01-29,"Films",8,"Harry Potter and the Deathly Hallows: Part 1","N/A",4
"69","Japan","JP",2023-01-29,"Films",9,"Harry Potter and the Deathly Hallows: Part 2","N/A",4
"70","Japan","JP",2023-01-29,"Films",10,"Devotion","N/A",1
"71","Japan","JP",2023-01-29,"TV",1,"Awaken","Awaken: Season 1",1
"72","Japan","JP",2023-01-29,"TV",2,"Record of Ragnarok","Record of Ragnarok: Season 2",1
"73","Japan","JP",2023-01-29,"TV",3,"Flower of Evil","Flower of Evil: Season 1",5
"74","Japan","JP",2023-01-29,"TV",4,"The Glory","The Glory: Season 1",4
"75","Japan","JP",2023-01-29,"TV",5,"The Interest of Love","The Interest of Love: Season 1",2
"76","Japan","JP",2023-01-29,"TV",6,"First Love","First Love: Season 1",10
"77","Japan","JP",2023-01-29,"TV",7,"Ikebukuro West Gate Park","Ikebukuro West Gate Park: Season 1",4
"78","Japan","JP",2023-01-29,"TV",8,"The Makanai: Cooking for the Maiko House","The Makanai: Cooking for the Maiko House: Season 1",3
"79","Japan","JP",2023-01-29,"TV",9,"Alice in Borderland","Alice in Borderland: Season 2",6
"80","Japan","JP",2023-01-29,"TV",10,"Blue Lock","N/A",7
"81","Japan","JP",2023-01-22,"Films",1,"Harry Potter and the Sorcerer's Stone","N/A",4
"82","Japan","JP",2023-01-22,"Films",2,"Harry Potter and the Chamber of Secrets","N/A",4
"83","Japan","JP",2023-01-22,"Films",3,"Harry Potter and the Goblet of Fire","N/A",3
"84","Japan","JP",2023-01-22,"Films",4,"Harry Potter and the Half-Blood Prince","N/A",3
"85","Japan","JP",2023-01-22,"Films",5,"Harry Potter and the Prisoner of Azkaban","N/A",4
"86","Japan","JP",2023-01-22,"Films",6,"Harry Potter and the Order of the Phoenix","N/A",3
"87","Japan","JP",2023-01-22,"Films",7,"Harry Potter and the Deathly Hallows: Part 1","N/A",3
"88","Japan","JP",2023-01-22,"Films",8,"Harry Potter and the Deathly Hallows: Part 2","N/A",3
"89","Japan","JP",2023-01-22,"Films",9,"Fantastic Beasts: The Secrets of Dumbledore","N/A",4
"90","Japan","JP",2023-01-22,"Films",10,"Ad Astra","N/A",1
"91","Japan","JP",2023-01-22,"TV",1,"The Glory","The Glory: Season 1",3
"92","Japan","JP",2023-01-22,"TV",2,"Flower of Evil","Flower of Evil: Season 1",4
"93","Japan","JP",2023-01-22,"TV",3,"The Makanai: Cooking for the Maiko House","The Makanai: Cooking for the Maiko House: Season 1",2
"94","Japan","JP",2023-01-22,"TV",4,"Ikebukuro West Gate Park","Ikebukuro West Gate Park: Season 1",3
"95","Japan","JP",2023-01-22,"TV",5,"Alice in Borderland","Alice in Borderland: Season 2",5
"96","Japan","JP",2023-01-22,"TV",6,"First Love","First Love: Season 1",9
"97","Japan","JP",2023-01-22,"TV",7,"The Interest of Love","The Interest of Love: Season 1",1
"98","Japan","JP",2023-01-22,"TV",8,"Blue Lock","N/A",6
"99","Japan","JP",2023-01-22,"TV",9,"Alchemy of Souls","Alchemy of Souls: Part 2",6
"100","Japan","JP",2023-01-22,"TV",10,"Single’s Inferno","Single’s Inferno: Season 2",5
"101","Japan","JP",2023-01-15,"Films",1,"Harry Potter and the Sorcerer's Stone","N/A",3
"102","Japan","JP",2023-01-15,"Films",2,"Harry Potter and the Chamber of Secrets","N/A",3
"103","Japan","JP",2023-01-15,"Films",3,"Harry Potter and the Goblet of Fire","N/A",2
"104","Japan","JP",2023-01-15,"Films",4,"Harry Potter and the Half-Blood Prince","N/A",2
"105","Japan","JP",2023-01-15,"Films",5,"Harry Potter and the Prisoner of Azkaban","N/A",3
"106","Japan","JP",2023-01-15,"Films",6,"Harry Potter and the Order of the Phoenix","N/A",2
"107","Japan","JP",2023-01-15,"Films",7,"Harry Potter and the Deathly Hallows: Part 1","N/A",2
"108","Japan","JP",2023-01-15,"Films",8,"Harry Potter and the Deathly Hallows: Part 2","N/A",2
"109","Japan","JP",2023-01-15,"Films",9,"Fantastic Beasts: The Secrets of Dumbledore","N/A",3
"110","Japan","JP",2023-01-15,"Films",10,"The Pale Blue Eye","N/A",1
"111","Japan","JP",2023-01-15,"TV",1,"The Glory","The Glory: Season 1",2
"112","Japan","JP",2023-01-15,"TV",2,"Alice in Borderland","Alice in Borderland: Season 2",4
"113","Japan","JP",2023-01-15,"TV",3,"Ikebukuro West Gate Park","Ikebukuro West Gate Park: Season 1",2
"114","Japan","JP",2023-01-15,"TV",4,"Flower of Evil","Flower of Evil: Season 1",3
"115","Japan","JP",2023-01-15,"TV",5,"Single’s Inferno","Single’s Inferno: Season 2",4
"116","Japan","JP",2023-01-15,"TV",6,"Alchemy of Souls","Alchemy of Souls: Part 2",5
"117","Japan","JP",2023-01-15,"TV",7,"First Love","First Love: Season 1",8
"118","Japan","JP",2023-01-15,"TV",8,"The Makanai: Cooking for the Maiko House","The Makanai: Cooking for the Maiko House: Season 1",1
"119","Japan","JP",2023-01-15,"TV",9,"Tiger and Dragon","Tiger and Dragon: Season 1",1
"120","Japan","JP",2023-01-15,"TV",10,"Dearest","Dearest: Season 1",2
"121","Japan","JP",2023-01-08,"Films",1,"Harry Potter and the Sorcerer's Stone","N/A",2
"122","Japan","JP",2023-01-08,"Films",2,"Harry Potter and the Chamber of Secrets","N/A",2
"123","Japan","JP",2023-01-08,"Films",3,"Harry Potter and the Prisoner of Azkaban","N/A",2
"124","Japan","JP",2023-01-08,"Films",4,"Harry Potter and the Goblet of Fire","N/A",1
"125","Japan","JP",2023-01-08,"Films",5,"Fantastic Beasts: The Secrets of Dumbledore","N/A",2
"126","Japan","JP",2023-01-08,"Films",6,"Harry Potter and the Order of the Phoenix","N/A",1
"127","Japan","JP",2023-01-08,"Films",7,"Harry Potter and the Half-Blood Prince","N/A",1
"128","Japan","JP",2023-01-08,"Films",8,"Harry Potter and the Deathly Hallows: Part 1","N/A",1
"129","Japan","JP",2023-01-08,"Films",9,"Harry Potter and the Deathly Hallows: Part 2","N/A",1
"130","Japan","JP",2023-01-08,"Films",10,"Glass Onion: A Knives Out Mystery","N/A",3
"131","Japan","JP",2023-01-08,"TV",1,"Alice in Borderland","Alice in Borderland: Season 2",3
"132","Japan","JP",2023-01-08,"TV",2,"The Glory","The Glory: Season 1",1
"133","Japan","JP",2023-01-08,"TV",3,"Ikebukuro West Gate Park","Ikebukuro West Gate Park: Season 1",1
"134","Japan","JP",2023-01-08,"TV",4,"Flower of Evil","Flower of Evil: Season 1",2
"135","Japan","JP",2023-01-08,"TV",5,"Alchemy of Souls","Alchemy of Souls: Part 2",4
"136","Japan","JP",2023-01-08,"TV",6,"First Love","First Love: Season 1",7
"137","Japan","JP",2023-01-08,"TV",7,"Alice in Borderland","Alice in Borderland: Season 1",3
"138","Japan","JP",2023-01-08,"TV",8,"Dearest","Dearest: Season 1",1
"139","Japan","JP",2023-01-08,"TV",9,"Single’s Inferno","Single’s Inferno: Season 2",3
"140","Japan","JP",2023-01-08,"TV",10,"The World of the Married","The World of the Married: Season 1",5
"141","Japan","JP",2023-01-01,"Films",1,"Glass Onion: A Knives Out Mystery","N/A",2
"142","Japan","JP",2023-01-01,"Films",2,"Harry Potter and the Sorcerer's Stone","N/A",1
"143","Japan","JP",2023-01-01,"Films",3,"Fantastic Beasts: The Secrets of Dumbledore","N/A",1
"144","Japan","JP",2023-01-01,"Films",4,"Harry Potter and the Chamber of Secrets","N/A",1
"145","Japan","JP",2023-01-01,"Films",5,"Knives Out","N/A",1
"146","Japan","JP",2023-01-01,"Films",6,"Roald Dahl's Matilda The Musical","N/A",1
"147","Japan","JP",2023-01-01,"Films",7,"The Batman","N/A",3
"148","Japan","JP",2023-01-01,"Films",8,"Poupelle of Chimney Town","N/A",1
"149","Japan","JP",2023-01-01,"Films",9,"Harry Potter and the Prisoner of Azkaban","N/A",1
"150","Japan","JP",2023-01-01,"Films",10,"And So The Baton Is Passed","N/A",8
"151","Japan","JP",2023-01-01,"TV",1,"Alice in Borderland","Alice in Borderland: Season 2",2
"152","Japan","JP",2023-01-01,"TV",2,"First Love","First Love: Season 1",6
"153","Japan","JP",2023-01-01,"TV",3,"Alice in Borderland","Alice in Borderland: Season 1",2
"154","Japan","JP",2023-01-01,"TV",4,"Flower of Evil","Flower of Evil: Season 1",1
"155","Japan","JP",2023-01-01,"TV",5,"Alchemy of Souls","Alchemy of Souls: Part 2",3
"156","Japan","JP",2023-01-01,"TV",6,"The World of the Married","The World of the Married: Season 1",4
"157","Japan","JP",2023-01-01,"TV",7,"Chainsaw Man","Chainsaw Man: Season 1",12
"158","Japan","JP",2023-01-01,"TV",8,"SPY x FAMILY","SPY x FAMILY: Season 1",31
"159","Japan","JP",2023-01-01,"TV",9,"Wednesday","Wednesday: Season 1",6
"160","Japan","JP",2023-01-01,"TV",10,"Single’s Inferno","Single’s Inferno: Season 2",2
"161","Japan","JP",2022-12-25,"Films",1,"The Batman","N/A",2
"162","Japan","JP",2022-12-25,"Films",2,"Glass Onion: A Knives Out Mystery","N/A",1
"163","Japan","JP",2022-12-25,"Films",3,"Boys Over Flowers Final: Theatrical Cut","N/A",2
"164","Japan","JP",2022-12-25,"Films",4,"The Seven Deadly Sins: Grudge of Edinburgh Part 1","N/A",1
"165","Japan","JP",2022-12-25,"Films",5,"The Big 4","N/A",1
"166","Japan","JP",2022-12-25,"Films",6,"And So The Baton Is Passed","N/A",7
"167","Japan","JP",2022-12-25,"Films",7,"JUMP!!: The Heroes Behind the GOLD","N/A",1
"168","Japan","JP",2022-12-25,"Films",8,"Troll","N/A",4
"169","Japan","JP",2022-12-25,"Films",9,"We Made a Beautiful Bouquet","N/A",9
"170","Japan","JP",2022-12-25,"Films",10,"Guillermo del Toro’s Pinocchio","N/A",3
"171","Japan","JP",2022-12-25,"TV",1,"Alice in Borderland","Alice in Borderland: Season 2",1
"172","Japan","JP",2022-12-25,"TV",2,"First Love","First Love: Season 1",5
"173","Japan","JP",2022-12-25,"TV",3,"The World of the Married","The World of the Married: Season 1",3
"174","Japan","JP",2022-12-25,"TV",4,"Alchemy of Souls","Alchemy of Souls: Part 2",2
"175","Japan","JP",2022-12-25,"TV",5,"SPY x FAMILY","SPY x FAMILY: Season 1",30
"176","Japan","JP",2022-12-25,"TV",6,"Wednesday","Wednesday: Season 1",5
"177","Japan","JP",2022-12-25,"TV",7,"Chainsaw Man","Chainsaw Man: Season 1",11
"178","Japan","JP",2022-12-25,"TV",8,"Alice in Borderland","Alice in Borderland: Season 1",1
"179","Japan","JP",2022-12-25,"TV",9,"Emily in Paris","Emily in Paris: Season 3",1
"180","Japan","JP",2022-12-25,"TV",10,"Single’s Inferno","Single’s Inferno: Season 2",1
"181","Japan","JP",2022-12-18,"Films",1,"The Batman","N/A",1
"182","Japan","JP",2022-12-18,"Films",2,"Troll","N/A",3
