"부채 보유","순자산4분위","순자산액 (만원)",50147,48936,-
"부채 보유","순자산5분위","가구분포 (%)",14.9,-,-
"부채 보유","순자산5분위","가구원수 (명)",3.2,-,-
"부채 보유","순자산5분위","가구주 연령 (세)",55.5,-,-
"부채 보유","순자산5분위","경상소득(전년도) (만원)",11822,10162,-
"부채 보유","순자산5분위","자산 (만원)",172176,132080,100.0
"부채 보유","순자산5분위","부채 (만원)",28248,16000,100.0
"부채 보유","순자산5분위","원리금상환액(전년도) (만원)",2454,1389,77.1
"부채 보유","순자산5분위","순자산액 (만원)",143928,108378,-
"부채 미보유","전체","가구분포 (%)",36.7,-,-
"부채 미보유","전체","가구원수 (명)",2.1,-,-
"부채 미보유","전체","가구주 연령 (세)",60.9,-,-
"부채 미보유","전체","경상소득(전년도) (만원)",4694,3134,-
"부채 미보유","전체","자산 (만원)",34750,16640,100.0
"부채 미보유","전체","부채 (만원)",-,-,-
"부채 미보유","전체","원리금상환액(전년도) (만원)",254,506,10.4
"부채 미보유","전체","순자산액 (만원)",34750,16640,-
"부채 미보유","순자산1분위","가구분포 (%)",10.0,-,-
"부채 미보유","순자산1분위","가구원수 (명)",1.5,-,-
"부채 미보유","순자산1분위","가구주 연령 (세)",62.6,-,-
"부채 미보유","순자산1분위","경상소득(전년도) (만원)",2095,1525,-
"부채 미보유","순자산1분위","자산 (만원)",1666,1180,100.0
"부채 미보유","순자산1분위","부채 (만원)",-,-,-
"부채 미보유","순자산1분위","원리금상환액(전년도) (만원)",57,310,7.3
"부채 미보유","순자산1분위","순자산액 (만원)",1666,1180,-
"부채 미보유","순자산2분위","가구분포 (%)",8.3,-,-
"부채 미보유","순자산2분위","가구원수 (명)",1.8,-,-
"부채 미보유","순자산2분위","가구주 연령 (세)",60.5,-,-
"부채 미보유","순자산2분위","경상소득(전년도) (만원)",3100,2598,-
"부채 미보유","순자산2분위","자산 (만원)",10120,9720,100.0
"부채 미보유","순자산2분위","부채 (만원)",-,-,-
"부채 미보유","순자산2분위","원리금상환액(전년도) (만원)",217,480,11.0
"부채 미보유","순자산2분위","순자산액 (만원)",10120,9720,-
"부채 미보유","순자산3분위","가구분포 (%)",7.0,-,-
"부채 미보유","순자산3분위","가구원수 (명)",2.3,-,-
"부채 미보유","순자산3분위","가구주 연령 (세)",60.8,-,-
"부채 미보유","순자산3분위","경상소득(전년도) (만원)",4659,3928,-
"부채 미보유","순자산3분위","자산 (만원)",24659,24232,100.0
"부채 미보유","순자산3분위","부채 (만원)",-,-,-
"부채 미보유","순자산3분위","원리금상환액(전년도) (만원)",251,400,12.2
"부채 미보유","순자산3분위","순자산액 (만원)",24659,24232,-
"부채 미보유","순자산4분위","가구분포 (%)",6.2,-,-
"부채 미보유","순자산4분위","가구원수 (명)",2.5,-,-
"부채 미보유","순자산4분위","가구주 연령 (세)",60.1,-,-
"부채 미보유","순자산4분위","경상소득(전년도) (만원)",6245,5129,-
"부채 미보유","순자산4분위","자산 (만원)",49989,49230,100.0
"부채 미보유","순자산4분위","부채 (만원)",-,-,-
"부채 미보유","순자산4분위","원리금상환액(전년도) (만원)",356,700,12.7
"부채 미보유","순자산4분위","순자산액 (만원)",49989,49230,-
"부채 미보유","순자산5분위","가구분포 (%)",5.1,-,-
"부채 미보유","순자산5분위","가구원수 (명)",2.8,-,-
"부채 미보유","순자산5분위","가구주 연령 (세)",59.5,-,-
"부채 미보유","순자산5분위","경상소득(전년도) (만원)",10517,8271,-
"부채 미보유","순자산5분위","자산 (만원)",134451,106940,100.0
"부채 미보유","순자산5분위","부채 (만원)",-,-,-
"부채 미보유","순자산5분위","원리금상환액(전년도) (만원)",581,1050,9.9
"부채 미보유","순자산5분위","순자산액 (만원)",134451,106940,-
